Date,IndexValue
1978-12-1,10000
1979-1-1,10255.47655
1979-2-1,10058.35273
1979-3-1,10479.13013
1979-4-1,10463.12299
1979-5-1,10281.24103
1979-6-1,10577.5326
1979-7-1,10656.1653
1979-8-1,11083.00118
1979-9-1,11330.95246
1979-10-1,10486.91049
1979-11-1,10807.94618
1979-12-1,11095.30946
1980-1-1,11762.06116
1980-2-1,11766.39776
1980-3-1,10498.96368
1980-4-1,11184.78365
1980-5-1,11733.80951
1980-6-1,12294.31459
1980-7-1,12670.00415
1980-8-1,12915.46826
1980-9-1,13301.29779
1980-10-1,13686.68091
1980-11-1,14256.94334
1980-12-1,13943.68802
1981-1-1,13535.92041
1981-2-1,13573.41921
1981-3-1,14054.07991
1981-4-1,14058.99047
1981-5-1,13782.65999
1981-6-1,13757.02305
1981-7-1,13522.7193
1981-8-1,13254.55183
1981-9-1,12256.36938
1981-10-1,12629.9544
1981-11-1,13566.59545
1981-12-1,13276.42613
1982-1-1,13079.111
1982-2-1,12284.93989
1982-3-1,11947.38688
1982-4-1,12531.6157
1982-5-1,12213.44983
1982-6-1,11659.44963
1982-7-1,11507.22235
1982-8-1,12339.59376
1982-9-1,12394.43895
1982-10-1,13243.45525
1982-11-1,13942.22123
1982-12-1,14565.35187
1983-1-1,14873.44154
1983-2-1,15182.80667
1983-3-1,15714.23105
1983-4-1,16833.20047
1983-5-1,16665.47623
1983-6-1,17185.93157
1983-7-1,16876.63021
1983-8-1,16964.51006
1983-9-1,17305.18797
1983-10-1,17098.88078
1983-11-1,17537.76984
1983-12-1,17759.25513
1984-1-1,17903.70205
1984-2-1,17605.4335
1984-3-1,18430.91738
1984-4-1,18360.95788
1984-5-1,16981.85645
1984-6-1,17125.72941
1984-7-1,16520.51912
1984-8-1,18175.31329
1984-9-1,18103.24926
1984-10-1,18293.23045
1984-11-1,18221.16642
1984-12-1,18597.17483
1985-1-1,19619.01725
1985-2-1,19652.49833
1985-3-1,20329.6451
1985-4-1,20268.74143
1985-5-1,21305.18797
1985-6-1,21679.98469
1985-7-1,22121.87111
1985-8-1,22297.69459
1985-9-1,22458.59507
1985-10-1,23661.49039
1985-11-1,24978.03004
1985-12-1,26141.06693
1986-1-1,26521.34817
1986-2-1,28904.3079
1986-3-1,31721.94764
1986-4-1,32586.33334
1986-5-1,32484.16823
1986-6-1,33779.15245
1986-7-1,34041.96295
1986-8-1,37007.6847
1986-9-1,35527.82118
1986-10-1,34908.32563
1986-11-1,36375.88087
1986-12-1,37091.48305
1987-1-1,41438.72963
1987-2-1,42794.93639
1987-3-1,45434.64813
